id,Stamp,x_global,y_global,vx_global,vy_global,v
1,0.0,3918.3634,2350.0767,-0.0408,3.975,14.310753779392615
1,0.10001778602600098,3918.2287,2350.989,-0.3192,5.1659,18.632708133602048
1,0.21000051498413086,3918.0101,2352.1168,-0.7777,6.6966,24.26978624331084
1,0.3100442886352539,3917.9318,2352.968,-0.7523,7.0008,25.347977056420106
1,0.40001392364501953,3917.8015,2353.7727,-0.8942,7.3771,26.75194809220443
1,0.5000231266021729,3917.8204,2354.7425,-0.6277,8.0501,29.06832640879072
1,0.6000118255615234,3917.8138,2355.641,-0.4705,8.1456,29.373037264566292
1,0.7100000381469727,3917.7694,2356.4341,-0.4705,8.1456,29.373037264566292
1,0.8000063896179199,3917.5691,2357.5971,-0.8078,8.9009,32.174930597967105
1,0.9100255966186523,3917.2146,2358.367,-1.4843,8.7412,31.91877099972366
1,1.0000019073486328,3917.1653,2359.4632,-1.1587,9.0283,32.76846218663305
1,1.1100289821624756,3916.924,2360.2937,-1.4915,9.178,33.474242650133256
1,1.2000041007995605,3916.6626,2361.1763,-1.7339,8.8869,32.596086799295406
1,1.3100106716156006,3916.6655,2362.0258,-1.2969,8.8822,32.314973724142185
1,1.4000027179718018,3916.601,2363.041,-1.1019,9.0971,32.98892995808139
1,1.510024070739746,3916.3379,2363.8317,-1.4909,8.9054,32.50561425863539
1,1.6000187397003174,3916.177,2364.7143,-1.4513,8.562,31.262868379955158
1,1.700005292892456,3916.2539,2365.4924,-0.9802,8.7837,31.81760115691942
1,1.8100223541259766,3915.9233,2366.4079,-1.5581,8.754,32.00968733470541
1,1.9100401401519775,3915.5288,2367.4088,-2.1067,8.9368,33.05430903112028
1,2.020010471343994,3915.6144,2368.1137,-1.3469,8.5537,31.17274139321083
1,2.110034227371216,3915.2636,2369.1757,-1.7809,8.7204,32.04141185046627
1,2.210022449493408,3915.2136,2370.1347,-1.3979,8.8743,32.341412008506985
1,2.310034990310669,3915.1501,2370.8014,-1.2285,8.6209,31.348772107015613
1,2.420003652572632,3914.9173,2371.6525,-1.4816,8.6629,31.639264144590975
1,2.510030746459961,3914.6342,2372.7902,-1.7438,9.2576,33.91345147212238
1,2.6000094413757324,3914.5903,2373.3923,-1.3979,8.537,31.142495638493717
1,2.700007438659668,3914.4812,2374.1146,-1.2996,8.3181,30.30843993179457
1,2.8100292682647705,3914.2979,2374.9313,-1.4195,8.4311,30.77914261121645
1,2.9100253582000732,3913.9391,2375.8909,-1.8596,8.457,31.172541388754308
1,3.009997844696045,3913.8029,2376.687,-1.7034,8.46,31.06722233186611
1,3.110025405883789,3913.538,2377.508,-1.876,8.3823,30.92279074725307
1,3.1999988555908203,3913.3343,2378.3263,-1.8147,8.2088,30.26517527702095
1,3.310030460357666,3913.3229,2379.0542,-1.4114,8.336,30.436705794839234
1,3.410029888153076,3913.0286,2380.0317,-1.651,8.4333,30.936203622526143
1,3.5000038146972656,3912.9152,2380.9387,-1.4556,8.7053,31.77415950221185
1,3.610020160675049,3912.8179,2381.7665,-1.3088,8.8896,32.34754666085204
1,3.710035562515259,3912.4211,2382.6991,-1.7112,8.4199,30.93129583434875
1,3.800006151199341,3912.3324,2383.4228,-1.4517,8.3699,30.581498644507267
1,3.9100229740142822,3912.3291,2384.1024,-1.0536,8.3577,30.325854322013747
1,4.000009298324585,3912.1076,2385.1978,-1.0684,8.5777,31.118333332876293
1,4.110015869140625,3911.9838,2386.2445,-0.9863,9.372,33.92552055757435
1,4.210019111633301,3911.8119,2387.1922,-0.9654,9.0864,32.89514889881485
1,4.30000376701355,3911.7019,2387.908,-0.9022,8.6818,31.422786388173794
1,4.409976482391357,3911.392,2388.5679,-1.3869,8.218,30.003147206678168
1,4.520014524459839,3911.1505,2389.7484,-1.4001,8.8758,32.347979368486065
1,4.600019216537476,3910.8704,2390.5534,-1.6711,8.8649,32.47571697085686
1,4.710020303726196,3910.7331,2391.5334,-1.5473,9.4579,34.50107658772405
1,4.81003212928772,3910.4945,2392.4209,-1.506,8.865,32.371239435029366
1,4.9000208377838135,3910.3633,2393.2199,-1.3318,8.6864,31.636450198339265
1,5.0100202560424805,3910.0288,2394.2166,-1.7321,9.1779,33.623695274422175
1,5.110013961791992,3909.7001,2394.8602,-2.0524,8.6505,32.00630732042671
1,5.200019598007202,3909.5482,2395.8926,-1.7486,9.0596,33.21650260631302
1,5.310024976730347,3909.476,2396.6947,-1.3937,8.9197,32.500533583755214
1,5.420013666152954,3909.0834,2397.3964,-1.9258,8.4053,31.043143325713654
1,5.510028600692749,3908.1515,2400.246,-2.0635,5.2142,20.187596291148683
1,5.600005149841309,3907.7773,2401.2328,-2.7498,7.0888,27.37242794895623
1,5.710024356842041,3907.6229,2402.0668,-2.3445,7.7456,29.133543467034695
1,5.810014724731445,3907.2486,2402.7524,-2.8033,7.026,27.232558508050616
1,5.91001558303833,3906.9796,2403.5286,-2.7894,7.3758,28.38827199531525
1,6.000014781951904,3906.6754,2404.341,-2.9331,7.7867,29.95489294923285
1,6.100002288818359,3906.3684,2405.1492,-3.0269,8.0094,30.824202360015743
1,6.20000958442688,3906.1165,2405.9134,-2.8739,7.9872,30.558606955291665
1,6.300007581710815,3905.7075,2406.8404,-3.3254,8.4061,32.54384117947972
1,6.410001993179321,3905.3108,2407.6945,-3.5913,8.5018,33.22510172343795
1,6.510020971298218,3904.972,2408.6857,-3.245,8.4383,32.54665447161044
1,6.610003471374512,3904.6263,2409.4169,-3.4043,8.2443,32.11025261658339
1,6.71001410484314,3904.2521,2410.3259,-3.4675,8.4093,32.74612771474514
1,6.810012340545654,3903.9998,2411.0194,-2.9928,7.5756,29.323224770000994
1,6.910041570663452,3903.6146,2411.8602,-3.3957,8.098,31.612096372597634
1,7.0000104904174805,3903.3077,2412.656,-3.3849,8.3181,32.329590619666064
1,7.110052824020386,3902.9486,2413.5069,-3.6432,8.8308,34.39007002093482
1,7.210036277770996,3902.5071,2414.4326,-3.4262,7.7071,30.36365507602799
1,7.300003290176392,3902.2974,2414.9884,-3.1067,7.2762,28.482045931372276
1,7.409996509552002,3901.8624,2415.9782,-3.7629,8.7068,34.14648537029836
1,7.500009059906006,3901.5656,2416.8127,-3.2201,8.0656,31.26469890971605
1,7.610044717788696,3901.1365,2417.7072,-3.8166,8.918,34.92132855287152
1,7.700000286102295,3900.8191,2418.4533,-3.3674,7.8863,30.870521722704986
1,7.800009489059448,3900.3706,2419.387,-3.9062,8.7146,34.380028573810115
1,7.910001277923584,3899.9948,2420.3898,-3.8916,9.333,36.4026473858372
1,8.000005960464478,3899.6696,2421.0227,-3.3341,7.4001,29.2194289565556
1,8.100023031234741,3899.3349,2421.731,-3.537,7.7306,30.604773939135704
1,8.200012445449829,3898.9193,2422.6671,-3.5943,7.9693,31.47247059480396
1,8.310014247894287,3898.5498,2423.6124,-3.8254,8.9342,34.987409847086425
1,8.410013675689697,3898.1086,2424.4889,-3.9058,8.4945,33.657940792841146
1,8.51001763343811,3897.7597,2425.4435,-3.6295,8.6538,33.78279680521434
1,8.600008010864258,3897.3823,2426.0172,-3.7254,7.656,30.651403188656797
1,8.710023641586304,3896.8894,2427.117,-4.2614,9.0909,36.14442898012362
1,8.81002688407898,3896.521,2427.9659,-3.9219,8.6183,34.08734182537559
1,8.900012493133545,3896.1974,2428.7503,-3.7198,8.4532,33.24761329101384
1,9.020033359527588,3895.6283,2429.8554,-4.5124,9.5189,37.92343463046563
1,9.10000991821289,3895.3244,2430.4887,-3.6792,7.7301,30.819649967253035
1,9.210031509399414,3894.8679,2431.4605,-4.1955,8.8601,35.29167827816637
1,9.310003280639648,3894.3231,2432.4553,-4.4276,8.7142,35.188213470763195
1,9.410027265548706,3894.0065,2433.3378,-4.1746,9.1503,36.20735239202116
1,9.510023355484009,3893.5154,2434.2398,-4.227,8.5575,34.36036124431756
